ID,name,type,sex,art,art2,art3,nationalität,migration,engagement,engagement2,follower,alter,Projekt
SOSM,SOS Mediterranee Deutschland e.V.,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1
SS,Sea Shepherd Deutschland e.V,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2
SW,Sea-Watch e.V.,2,NA,NA,NA,NA,NA,NA,8,5,NA,NA,2
TDF,Terre des Femmes – Menschenrechte für die Frau e.V.,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2
TelefonicaStiftung,Telefonica Stiftung,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1
TilSchweiger,Til Schweiger Foundation,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
TPOTH,The Power of the Hearts,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2
Trettmann,Trettmann,1,1,1,NA,NA,1,2,NA,NA,8,4,1
UC,Urban Culture/DeluxeKidz e.V,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
UD,dieUmweltDruckerei GmbH,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2
UNICEF,Deutsches Komitee für UNICEF e.V.,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
Unteilbar,#unteilbar Initiative,2,NA,NA,NA,NA,NA,NA,5,8,NA,NA,1
UweKaa,Uwe Kaa,1,1,1,NA,NA,1,2,NA,NA,1,4,2
VanDeForst,Van de Forst,1,2,1,NA,NA,1,2,NA,NA,1,2,2
Vangardist,Vangardist Media GmbH,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2
VCA,Viva con Agua de Sankt Pauli e.V,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1
VFC,Visions for Children e.V.,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
VisaVie,Visa Vie,1,2,1,4,2,1,NA,NA,NA,5,3,1
Voice,The VOICE Refugee Forum,2,NA,NA,NA,NA,NA,NA,8,5,NA,NA,2
WR,Weißer Ring Gemeinnütziger Verein zur Unterstützung von Kriminalitätsopfern und zur Verhütung von Straftaten e. V.,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1
WSM,Wir sind mehr,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2
