ID,name,type,sex,art,art2,art3,nationalität,migration,engagement,engagement2,follower,alter,Projekt,Management
MMM,Mensch Mensch Mensch e.V.,2,99,99,99,99,99,99,8,99,99,99,2,99
MSN,Make Some Noise,2,99,99,99,99,99,99,8,99,99,99,2,99
Myclimate,myclimate Deutschland gGmbH,2,99,99,99,99,99,99,4,99,99,99,2,99
Namika,Namika,1,2,1,99,99,1,1,99,99,5,2,1,1
NewSway,New Sway,1,99,1,99,99,99,3,99,99,99,99,2,99
Nura,Nura,1,1,1,99,99,2,1,99,99,9,2,1,14
OliverHarris,Oliver Harris,1,1,6,99,99,1,1,99,99,2,4,1,2
Olson,Olson,1,1,1,99,99,1,2,99,99,3,3,1,25
One,The ONE Campaign,2,99,99,99,99,99,99,8,99,99,99,1,99
Opferfonds,Opferfonds CURA,2,99,99,99,99,99,99,8,99,99,99,1,99
PETA,PETA Deutschland e.V.,2,99,99,99,99,99,99,4,99,99,99,1,99
PFI,PFIF - Partner für Innovation & Förderung GmbH & Co. KG (Du bist Deutschland- Kampagne),2,99,99,99,99,99,99,4,99,99,99,1,99
PG,Parieté Gala,2,99,99,99,99,99,99,3,99,99,99,2,99
Pohlmann,Pohlmann,1,1,1,99,99,1,2,99,99,1,4,2,11
PPE,P x P Embassy e.V. (PXP Festival (Kinder)),2,99,99,99,99,99,99,2,99,99,99,1,99
ProAsyl,Pro Asyl,2,99,99,99,99,99,99,5,99,99,99,1,99
Ramstein,Aktionsbüro Ramstein-Kampagne Berlin,2,99,99,99,99,99,99,8,5,99,99,2,99
RBS,Robert Bosch Stiftung,2,99,99,99,99,99,99,2,1,99,99,1,99
Respekt,Gemeinnützige Respekt! Kein Platz für Rassismus GmbH,2,99,99,99,99,99,99,8,5,99,99,2,99
RFA,Rollis für Afrika e.V.,2,99,99,99,99,99,99,6,99,99,99,2,99
RHH,Sat1 - Ran hilft Haiti,2,99,99,99,99,99,99,8,99,99,99,1,99
Romee,Romee,1,1,1,3,99,1,1,99,99,4,2,1,30
RonjaMaltzahn,Ronja Maltzahn,1,2,1,99,99,1,2,99,99,1,2,2,99
RTR,Race to Raise,2,99,99,99,99,99,99,8,99,99,99,1,99
SalwaBenz,Salwa Benz,1,2,4,5,99,1,1,99,99,2,2,1,99
SG,Straßengezwitscher e.V.,2,99,99,99,99,99,99,5,8,99,99,2,99
SH,Social Heartbeat,2,99,99,99,99,99,99,5,8,99,99,2,99
SHL,Schüler Helfen Leben e.V.,2,99,99,99,99,99,99,8,99,99,99,1,99
Sido,Sido,1,1,1,99,99,1,1,99,99,9,3,1,3
SimonBus,Simon Bus,1,1,4,99,99,1,2,99,99,10,99,1,27
SKOA,Smiling Kids of Africa,2,99,99,99,99,99,99,2,99,99,99,1,99
Smudo,Smudo,1,1,1,99,99,1,2,99,99,5,4,1,17
Sonnenblume,Sonnenblume e.V.,2,99,99,99,99,99,99,2,99,99,99,1,99
SOSKinderdorf,SOS-Kinderdorf e.V.,2,99,99,99,99,99,99,2,99,99,99,1,99
SOSM,SOS Mediterranee Deutschland e.V.,2,99,99,99,99,99,99,5,99,99,99,1,99
SS,Sea Shepherd Deutschland e.V,2,99,99,99,99,99,99,4,99,99,99,2,99
SW,Sea-Watch e.V.,2,99,99,99,99,99,99,8,5,99,99,2,99
TDF,Terre des Femmes – Menschenrechte für die Frau e.V.,2,99,99,99,99,99,99,8,99,99,99,2,99
TelefonicaStiftung,Telefonica Stiftung,2,99,99,99,99,99,99,2,1,99,99,1,99
TilSchweiger,Til Schweiger Foundation,2,99,99,99,99,99,99,2,99,99,99,1,99
TPOTH,The Power of the Hearts,2,99,99,99,99,99,99,1,99,99,99,2,99
Trettmann,Trettmann,1,1,1,99,99,1,2,99,99,8,4,1,13
UC,Urban Culture/DeluxeKidz e.V,2,99,99,99,99,99,99,2,99,99,99,1,99
UD,dieUmweltDruckerei GmbH,2,99,99,99,99,99,99,4,99,99,99,2,99
UNICEF,Deutsches Komitee für UNICEF e.V.,2,99,99,99,99,99,99,2,99,99,99,1,99
Unteilbar,#unteilbar Initiative,2,99,99,99,99,99,99,5,8,99,99,1,99
UweKaa,Uwe Kaa,1,1,1,99,99,1,2,99,99,1,4,2,10
VanDeForst,Van de Forst,1,2,1,99,99,1,2,99,99,1,2,2,99
Vangardist,Vangardist Media GmbH,2,99,99,99,99,99,99,8,99,99,99,2,99
VCA,Viva con Agua de Sankt Pauli e.V,2,99,99,99,99,99,99,8,99,99,99,1,99
VFC,Visions for Children e.V.,2,99,99,99,99,99,99,2,99,99,99,1,99
VisaVie,Visa Vie,1,2,1,4,2,1,3,99,99,5,3,1,16
Voice,The VOICE Refugee Forum,2,99,99,99,99,99,99,8,5,99,99,2,99
WR,Weißer Ring Gemeinnütziger Verein zur Unterstützung von Kriminalitätsopfern und zur Verhütung von Straftaten e. V.,2,99,99,99,99,99,99,8,99,99,99,1,99
